Make,Model,MakeCode,FamilyCode,YearGroup,MonthGroup,SequenceNum,Description,CurrentRelease,ImportFlag,LimitedEdition,Series,SeriesModelYear,BadgeDescription,BadgeSecondaryDescription,BodyStyleDescription,BodyConfigDescription,WheelBaseConfig,Roofline,ExtraIdentification,DriveDescription,DriveCode,GearTypeDescription,GearLocationDescription,GearNum,DoorNum,EngineSize,EngineDescription,Cylinders,FuelTypeDescription,InductionDescription,OptionCategory,CamDescription,EngineTypeDescription,FuelCapacity,FuelDeliveryDescription,MethodOfDeliveryDescription,GrossCombinationMAss,GrossVehicleMass,VIN,WheelBase,Height,Length,Width,KerbWeight,TareMass,PayLoad,Power,PowerRPMFrom,PowerRPMTo,Torque,TorqueRPMFrom,TorqueRPMTo,RonRating,SeatCapacity,ModelCode,BuildCountryOriginDescription,ValvesCylinder,EngineCycleDescription,EngineConfigurationDescription,EngineLocation,EngineNum,Acceleration,FrontTyreSize,RearTyreSize,FrontRimDesc,RearRimDesc,TowingBrakes,TowingNoBrakes,WarrantyCustAssist,FreeScheduledService,WarrantyYears,WarrantyKM,FirstServiceKM,FirstServiceMonths,RegServiceMonths,AltEngEngineType,AltEngBatteryType,AltEngCurrentType,AltEngAmpHours,AltEngVolts,AltEngChargingMethod,AltEngPower,AltEngPowerFrom,AltEngPowerTo,AltEngTorque,AltEngTorqueFrom,AltEngTorqueTo,AltEngDrive,NormalChargeMins,QuickChargeMins,NormalChargeVoltage,QuickChargeVoltage,KMRangeElectricEng,ElectricEngineLocation,TopSpeedElectricEng,GreenhouseRating,AirpollutionRating,OverallGreenStarRating,CO2Combined,CO2Urban,CO2ExtraUrban,FuelUrban,FuelExtraurban,FuelCombined,EmissionStandard,MaxEthanolBlend,AncapRating,VFactsClass,VFactsSegment,VFactsPrice,IsPPlateApproved,AverageKM,GoodKM,AvgWholesale,AvgRetail,GoodWholesale,GoodRetail,TradeMin,TradeMax,PrivateMax,NewPrice,Colour,Branch,SaleCategory,Sold_Date,Compliance_Date,Age_Comp_Months,KM,Sold_Amount,Aging,AgingMonths,Age_Comp_Months_Fixed,KM per Year,RelativePower,RelativeTorque
Toyota,Camry,TOYO,CAMRY,2015,4,6,ASV50R Altise Sedan 4dr Spts Auto 6sp 2.5i (Apr),F,L,F,ASV50R,,Altise,,Sedan,,,,Apr,Front Wheel Drive,FWD,Sports Automatic,Floor,6.0,4,2494,2.5,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,70.0,Multi-Point Injection,Electronic Sequential,3300.0,2100.0,6T1BF3FK90#######,2775.0,1470.0,4850.0,1835.0,1465.0,1420.0,635.0,133.0,,6000.0,231.0,,4100.0,91.0,5,ASV50R-DETDKQ,AUSTRALIA,4.0,4 Stroke,In-line,Front,2AR-#######,,215/60 R16,215/60 R16,16x6.5,16x6.5,1200.0,500.0,,,3.0,100000.0,5000.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,6.5,6.5,3.5,183.0,255.0,142.0,10.9,6.0,7.8,Euro 4,E10,5.0,Passenger,Medium,< $60K,T,50.0,30.0,14250.0,17550.0,16000.0,19600.0,12500.0,14400.0,17800.0,26490.0,1F7 - Silver Pearl (T),Belmore (NSW),Dealer Only Auction,2017-06-14 00:00:00.000,06/2015,24.0,44119.0,15300.0,2,24,24.0,22059.5,0.09078498293515358,0.157679180887372
Audi,Q3,AUDI,Q3,2012,8,7,8U MY13 TFSI Wagon 5dr S tronic 7sp quattro 2.0T (125kW),F,L,F,8U,MY13,TFSI,,Wagon,,,,125kW,Four Wheel Drive,4WD,Sports Automatic Dual Clutch,Floor,7.0,5,1984,2.0,4,Petrol - Premium ULP,Turbo Intercooled,SUV,Double Overhead Cam,Piston,64.0,Direct Injection,Electronic Sequential,3955.0,2155.0,WAUZZZ8UXDR######,2603.0,1590.0,4385.0,1831.0,1555.0,1555.0,600.0,125.0,4300.0,6200.0,280.0,1700.0,4200.0,95.0,5,8UB08Y/13,SPAIN,4.0,4 Stroke,In-line,Front,CCZ ######,8.2,235/55 R17,235/55 R17,17x7.0,17x7.0,1800.0,750.0,,,3.0,-1.0,15000.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,7.0,7.5,4.0,179.0,235.0,148.0,10.2,6.4,7.7,Euro 5,,5.0,SUV,Small,> $40K,T,130.0,80.0,21200.0,25500.0,23700.0,28300.0,19100.0,21700.0,26000.0,48950.0,Blue,Belmore (NSW),Fixed Price,2017-01-04 00:00:00.000,12/2012,49.0,38999.0,27400.0,5,60,49.0,9550.775510204083,0.08038585209003216,0.18006430868167203
Toyota,Hilux,TOYO,HILUX,2005,3,45,GGN25R MY05 SR Utility Dual Cab 4dr Auto 5sp 4x4 1055kg 4.0i,F,L,F,GGN25R,MY05,SR,,Utility,Dual Cab,,,,4X4,4X4,Automatic,Floor,5.0,4,3956,4.0,6,Petrol - Unleaded ULP,Aspirated,CC,DOHC with VVT,Piston,76.0,Multi-Point Injection,Electronic Sequential,4750.0,2810.0,MR0FU22G100######,3085.0,1810.0,5130.0,1760.0,1755.0,1705.0,1055.0,175.0,,5200.0,343.0,2400.0,4800.0,91.0,5,GGN25R-PRADKQ,THAILAND,4.0,4 Stroke,V60,Front,1GR-#######,,205 R16 C,205 R16 C,16x6.0,16x6.0,2250.0,750.0,,,3.0,100000.0,5000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,308.0,,,,,13.0,,,4.0,Light Commercial,PU/CC 4x4,,T,360.0,240.0,9000.0,11800.0,11200.0,14200.0,7800.0,10100.0,12800.0,40530.0,White,Newcastle (NSW),Auction,2016-08-17 00:00:00.000,06/2005,134.0,222075.0,11400.0,11,132,132.0,20188.636363636364,0.09971509971509972,0.19544159544159545
Holden,Commodore,HOLD,COMMODO,2015,0,0,VF MY15 Evoke Sedan 4dr. Spts Auto 6sp 3.0i,F,L,F,VF,MY15,Evoke,,Sedan,,,,,Rear Wheel Drive,RWD,Sports Automatic,Floor,6.0,4,2997,3.0,6,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,71.0,Direct Injection,Electronic Sequential,,,6G1FA5E##FL######,2915.0,1471.0,4947.0,1898.0,1622.0,1582.0,,185.0,,6700.0,290.0,,2600.0,91.0,5,8EK69-178,AUSTRALIA,4.0,4 Stroke,V60,Front,L???###########,,225/60 R16,225/60 R16,16x7.0,16x7.0,1600.0,750.0,1yr Roadside,,3.0,100000.0,15000.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,6.5,8.5,4.5,198.0,270.0,156.0,11.3,6.5,8.3,Euro 4,E10,5.0,Passenger,Large,< $70K,T,50.0,30.0,15150.0,18650.0,17000.0,20750.0,13300.0,15300.0,18900.0,35490.0,Prussian Steel,Adelaide (SA),Auction,2016-10-05 00:00:00.000,02/2015,20.0,90038.0,15000.0,1,12,12.0,90038.0,0.11405672009864365,0.17879161528976573
Nissan,X-Trail,NISS,X-TRAIL,2013,0,1,T31 Series V ST Wagon 5dr CVT 1sp 2WD 2.0i,F,L,F,T31,Series V,ST,,Wagon,,,,,Front Wheel Drive,FWD,Constantly Variable Transmission,Floor,1.0,5,1997,2.0,4,Petrol - Unleaded ULP,Aspirated,SUV,DOHC with VVT,Piston,65.0,Multi-Point Injection,Electronic Sequential,4000.0,2000.0,JN1TBAT31A0######,2630.0,1700.0,4635.0,1790.0,1661.9049518435645,1428.0,572.0,102.0,,5200.0,198.0,,4400.0,91.0,5,XTRAIL2AST5,JAPAN,4.0,4 Stroke,In-line,Front,MR20 ######?,,225/60 R17,225/60 R17,17x7.0,17x7.0,1300.0,750.0,3yr roadside assist,,3.0,100000.0,10000.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,6.5,6.5,3.5,199.0,243.0,173.0,10.3,7.3,8.4,Euro 4,,4.0,SUV,Medium,< $60K,T,100.0,60.0,12500.0,15500.0,14200.0,17500.0,10900.0,12800.0,15900.0,30990.0,White,Dubbo (NSW),Auction,2017-05-04 00:00:00.000,04/2013,49.0,55409.0,13500.0,4,48,48.0,13852.25,0.06137535115161104,0.1191403875295979
Toyota,Fortuner,TOYO,FORTUNE,2015,8,5,GUN156R Crusade Wagon 7st 5dr Auto 6sp 4x4 2.8DT,F,L,F,GUN156R,,Crusade,,Wagon,,,,,4X4 Dual Range,4XD,Automatic,S/Wheel & Floor,6.0,5,2755,2.8,4,Diesel,Turbo Intercooled,SUV,Double Overhead Cam,Piston,80.0,Direct Injection,Electronic Sequential,,2750.0,MR0DA3FS80#######,2750.0,1835.0,4795.0,1855.0,2135.0,2095.0,,130.0,,3400.0,450.0,1600.0,2400.0,,7,GUN156R-STTMHQ,THAILAND,4.0,4 Stroke,In-line,Front,1GD #######,,265/60 R18,265/60 R18,18x7.5,18x7.5,2800.0,750.0,,,3.0,100000.0,5000.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,228.0,290.0,192.0,11.0,7.3,8.6,Euro 5,,5.0,SUV,Large,< $70K,T,50.0,30.0,39950.0,46850.0,43550.0,50900.0,36900.0,40700.0,47200.0,61990.0,8X2 - Nebula Blue (T),Perth (WA),Dealer Only Auction,2016-06-29 00:00:00.000,08/2015,10.0,10414.0,48250.0,1,12,10.0,12496.8,0.06088992974238876,0.2107728337236534
Holden,Colorado,HOLD,COLORAD,2014,0,22,RG MY14 LT Utility Crew Cab 4dr. Spts Auto 6sp 4x4 1090kg 2.8DT,F,L,F,RG,MY14,LT,,Utility,Dual Cab,,,,4X4 Dual Range,4XD,Sports Automatic,Floor,6.0,4,2776,2.8,4,Diesel,Turbo Intercooled,CC,Double Overhead Cam,Piston,76.0,Direct Injection,Electronic Sequential,6000.0,3150.0,MMU148FK0EH######,3096.0,1780.0,5347.0,1882.0,2060.0,2005.0,1090.0,147.0,,3600.0,500.0,2000.0,2200.0,,5,82G43374,THAILAND,4.0,4 Stroke,In-line,Front,*** G102######,,245/70 R16,245/70 R16,16x6.5,16x6.5,3500.0,750.0,1yr Roadside,,3.0,100000.0,15000.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,5.0,3.0,2.5,241.0,316.0,199.0,11.8,7.4,9.0,Euro 4,,5.0,Light Commercial,PU/CC 4x4,,T,90.0,60.0,26250.0,31200.0,28900.0,34250.0,23800.0,26700.0,31600.0,48190.0,White,Belmore (NSW),Auction,2017-04-24 00:00:00.000,01/2014,39.0,90322.0,25800.0,3,36,36.0,30107.333333333332,0.07135922330097087,0.24271844660194175
Toyota,Camry,TOYO,CAMRY,2013,0,0,ASV50R Altise Sedan 4dr Spts Auto 6sp 2.5i,F,L,F,ASV50R,,Altise,,Sedan,,,,,Front Wheel Drive,FWD,Sports Automatic,Floor,6.0,4,2494,2.5,4,Petrol - Unleaded ULP,Aspirated,PASS,DOHC with VVT,Piston,70.0,Multi-Point Injection,Electronic Sequential,3300.0,2100.0,6T1BF3FK90#######,2775.0,1470.0,4815.0,1825.0,1465.0,1420.0,635.0,133.0,,6000.0,231.0,,4100.0,91.0,5,ASV50R-DETDKQ,AUSTRALIA,4.0,4 Stroke,In-line,Front,2AZR-#######,9.3,215/60 R16,215/60 R16,16x6.5,16x6.5,1200.0,500.0,,,3.0,100000.0,5000.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,6.5,6.5,3.5,183.0,255.0,142.0,10.9,6.0,7.8,Euro 4,E10,5.0,Passenger,Medium,< $60K,T,100.0,60.0,9700.0,12650.0,11450.0,14450.0,8500.0,10300.0,13000.0,30490.0,Black,Belmore (NSW),Fixed Price,2017-02-24 00:00:00.000,11/2013,39.0,47327.0,15390.0,4,48,39.0,14562.153846153846,0.09078498293515358,0.157679180887372
Ford,Ranger,FORD,RANGER,2012,0,9,PX XL Hi-Rider Utility Double Cab 4dr Man 6sp 4x2 1271kg 2.2DT,F,L,F,PX,,XL,Hi-Rider,Utility,Dual Cab,,,,Rear Wheel Drive,RWD,Manual,Floor,6.0,4,2198,2.2,4,Diesel,Turbo Intercooled,CC,Double Overhead Cam,Piston,80.0,Direct Injection,Electronic Sequential,5950.0,3200.0,MNAUMEF80C*######,3220.0,1815.0,5359.0,1850.0,1929.0,1879.0,1271.0,110.0,,3700.0,375.0,1500.0,2500.0,,5,,THAILAND,4.0,4 Stroke,In-line,Front,P4AT-######,,255/70 R16,255/70 R16,16x7.0,16x7.0,3350.0,750.0,1 year roadside,,3.0,100000.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,203.0,,,,,7.6,,,5.0,Light Commercial,PU/CC 4X2,,T,150.0,100.0,15500.0,19050.0,17550.0,21350.0,13600.0,15800.0,19500.0,34990.0,White,Darwin (NT),Auction,2017-02-23 00:00:00.000,04/2012,58.0,53852.0,19250.0,5,60,58.0,11141.793103448277,0.05702436495593572,0.19440124416796267
Renault,Master,RENA,MASTER,2014,9,28,X62 Van Mid Roof LWB 4dr. AMT 6sp 1540kg 2.3DT (L3H2),F,L,F,X62,,,,Van,,Long Wheelbase,Mid Roof,L3H2,Front Wheel Drive,FWD,Sports Automatic Single Clutch,Dash,6.0,4,2299,2.3,4,Diesel,Turbo Intercooled,CC,Overhead Cam,Piston,100.0,Direct Injection,Electronic Sequential,,3510.0,VF1MAF4ZEB0######,4332.0,2549.0,6198.0,2070.0,1970.0,1903.0,1540.0,110.0,,3500.0,350.0,,1500.0,,3,,FRANCE,4.0,4 Stroke,In-line,Front,M9TD8** #######,,225/65 R16,225/65 R16,16x6.5,16x6.5,2500.0,750.0,3yr Roadside,,3.0,200000.0,30000.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euro 5,,,Heavy Commercial,"Trucks 3,501-7,500 kgs GVM",,T,90.0,60.0,25450.0,32000.0,28050.0,35150.0,23000.0,25900.0,31600.0,49490.0,White,Belmore (NSW),Auction,2017-11-22 00:00:00.000,06/2014,41.0,53557.0,24350.0,3,36,36.0,17852.333333333332,0.05583756345177665,0.17766497461928935
