MakeCode,BodyStyleDescription,VFactsClass,FuelTypeDescription,EngineTypeDescription,GearNum,EngineSize,Cylinders,Power,PowerRPMTo,Torque,TorqueRPMTo,DoorNum,WheelBase,Height,Length,Width,KerbWeight,SeatCapacity,YearGroup,Sold_Date,KM,AverageKM,GoodKM,SaleCategory,Branch,BuildCountryOriginDescription,NewPrice,Sold_Amount,ColorGroup,Aging,Age_Comp_Months_Fixed,KM per Year,RelativePower,RelativeTorque
HOLD,Utility,Light Commercial,Petrol - Unleaded ULP,Piston,6.0,3564,6,210.0,6400.0,350.0,2900.0,2,3009.0,1497.0,5055.0,2100.0,1740.0,2.0,2009,2012-12-18 00:00:00.000,66817.0,240.0,160.0,Auction,Balcatta (WA),AUSTRALIA,39490.0,21500.0,gray,3,36.0,22272.333333333332,0.1206896551724138,0.20114942528735633
MITS,Wagon,SUV,Diesel,Piston,5.0,3200,4,125.0,3800.0,358.0,2000.0,5,2780.0,1900.0,4900.0,1875.0,2085.0,7.0,2008,2011-09-01 00:00:00.000,59160.0,230.0,140.0,Auction,Canberra (ACT),JAPAN,54390.0,33250.0,white,3,36.0,19720.0,0.05995203836930456,0.17170263788968826
FORD,Utility,Light Commercial,Petrol - Unleaded ULP,Piston,5.0,5408,8,260.0,5250.0,500.0,4250.0,2,3096.0,1517.0,5077.0,1870.0,1577.0,2.0,2004,2014-12-30 00:00:00.000,184458.0,240.0,130.0,Auction,Balcatta (WA),AUSTRALIA,40925.0,3000.0,black,10,120.0,18445.8,0.1648700063411541,0.31705770450221943
TOYO,Bus,Light Commercial,Petrol - Unleaded ULP,Piston,5.0,2438,4,85.0,5000.0,196.0,2600.0,4,2890.0,2215.0,5130.0,1690.0,1705.0,14.0,1998,2002-10-15 00:00:00.000,79347.0,570.0,380.0,Auction,Tullamarine (VIC),JAPAN,39100.0,19300.0,white,4,48.0,19836.75,0.04985337243401759,0.11495601173020528
FORD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3984,6,182.0,5000.0,380.0,3250.0,4,2829.0,1444.0,4916.0,1864.0,1648.0,5.0,2004,2008-07-16 00:00:00.000,213267.0,325.0,195.0,Auction,Belmore (NSW),AUSTRALIA,35175.0,7900.0,white,4,43.0,59516.37209302325,0.1104368932038835,0.23058252427184467
TOYO,Sedan,Passenger,Petrol - Unleaded ULP,Piston,6.0,3456,6,200.0,6200.0,336.0,4700.0,4,2775.0,1470.0,4835.0,1825.0,1525.0,5.0,2013,2015-10-28 00:00:00.000,98559.0,100.0,60.0,Dealer Only Auction,Perth (WA),AUSTRALIA,36490.0,11600.0,gray,2,23.0,51422.086956521736,0.13114754098360656,0.22032786885245903
FORD,Wagon,SUV,Petrol - Unleaded ULP,Piston,4.0,3984,6,190.0,5250.0,383.0,2500.0,5,2842.0,1714.0,4856.0,1898.0,1995.0,5.0,2007,2012-05-15 00:00:00.000,91348.0,250.0,150.0,Auction,Townsville (QLD),AUSTRALIA,37990.0,8500.0,black,5,56.0,19574.571428571428,0.09523809523809523,0.19197994987468672
TOYO,Sedan,Passenger,Petrol - Unleaded ULP,Piston - Electric,1.0,2362,4,110.0,6000.0,187.0,4400.0,4,2775.0,1480.0,4815.0,1820.0,1645.0,5.0,2010,2012-04-05 00:00:00.000,60097.0,180.0,110.0,Special Fixed Price,Sunshine (VIC),AUSTRALIA,36990.0,16253.0,gray,2,24.0,30048.5,0.0668693009118541,0.11367781155015197
TOYO,Sedan,Passenger,Petrol - Unleaded ULP,Piston,5.0,2362,4,117.0,5700.0,218.0,4000.0,4,2775.0,1480.0,4815.0,1820.0,1500.0,5.0,2010,2014-12-02 00:00:00.000,77075.0,180.0,110.0,Fixed Price,Hobart (TAS),AUSTRALIA,29990.0,10700.0,white,4,48.0,19268.75,0.078,0.14533333333333334
SUBA,Wagon,SUV,Petrol - Unleaded ULP,Piston,6.0,2498,4,126.0,5800.0,235.0,4100.0,5,2640.0,1735.0,4595.0,1795.0,1528.0,5.0,2013,2015-04-16 00:00:00.000,45334.0,100.0,60.0,Fixed Price,Geebung (QLD),JAPAN,32990.0,20776.0,red,2,22.0,24727.636363636364,0.0824607329842932,0.1537958115183246
FORD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,4942,8,175.0,4600.0,395.0,3200.0,4,2919.0,1447.0,5140.0,1872.0,1721.0,5.0,2001,2004-03-15 00:00:00.000,55514.0,400.0,240.0,Auction,Belmore (NSW),AUSTRALIA,53677.0,25000.0,indigo,3,36.0,18504.666666666668,0.10168506682161534,0.2295177222545032
MITS,Wagon,SUV,Petrol - Unleaded ULP,Piston,6.0,2359,4,125.0,6000.0,226.0,4100.0,5,2670.0,1740.0,4640.0,1800.0,1560.0,5.0,2007,2009-08-10 00:00:00.000,82123.0,250.0,150.0,Special Fixed Price,Geebung (QLD),JAPAN,31990.0,17500.0,white,2,24.0,41061.5,0.08012820512820513,0.14487179487179488
FORD,Wagon,SUV,Petrol - Unleaded ULP,Piston,4.0,3984,6,182.0,5000.0,380.0,3250.0,5,2842.0,1714.0,4856.0,1898.0,2015.0,5.0,2004,2011-05-03 00:00:00.000,190497.0,325.0,195.0,Auction,Sunshine (VIC),AUSTRALIA,49490.0,14100.0,green,7,84.0,27213.85714285714,0.09032258064516129,0.18858560794044665
NISS,Utility,Light Commercial,Diesel,Piston,6.0,2488,4,126.0,4000.0,403.0,2000.0,4,3200.0,1774.0,5220.0,1850.0,1985.0,5.0,2007,2014-07-30 00:00:00.000,218093.0,300.0,200.0,Auction,Belmore (NSW),SPAIN,45990.0,8250.0,blue,7,84.0,31156.14285714286,0.06347607052896725,0.20302267002518892
FORD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,6.0,3984,6,195.0,6000.0,391.0,3250.0,4,2838.0,1453.0,4970.0,1868.0,1684.0,5.0,2010,2014-09-10 00:00:00.000,102446.0,180.0,110.0,Dealer Only Auction,Balcatta (WA),AUSTRALIA,37950.0,12880.0,indigo,4,48.0,25611.5,0.11579572446555819,0.2321852731591449
HOLD,Sedan,Passenger,Petrol or LPG (Dual),Piston,4.0,3565,6,175.0,6500.0,318.0,2400.0,4,2915.0,1476.0,4894.0,1899.0,1791.0,5.0,2009,2012-10-09 00:00:00.000,53813.0,200.0,120.0,Auction,Sunshine (VIC),AUSTRALIA,42390.0,15200.0,violet,3,34.0,18992.823529411762,0.0977107761027359,0.17755443886097153
HOLD,Sedan,Passenger,Diesel,Piston,6.0,1991,4,110.0,4000.0,320.0,2000.0,4,2700.0,1450.0,4805.0,1810.0,1570.0,5.0,2009,2014-11-24 00:00:00.000,87479.0,200.0,120.0,Fixed Price,Balcatta (WA),SOUTH KOREA,30490.0,7280.0,red,5,60.0,17495.8,0.07006369426751592,0.20382165605095542
HOLD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3565,6,175.0,6000.0,320.0,2800.0,4,2789.0,1440.0,4876.0,1842.0,1568.0,5.0,2005,2009-01-08 00:00:00.000,58723.0,300.0,180.0,Auction,Darwin (NT),AUSTRALIA,33650.0,10500.0,gray,4,40.0,17616.899999999998,0.11160714285714286,0.20408163265306123
MITS,Sedan,Passenger,Petrol - Unleaded ULP,Piston,5.0,3497,6,163.0,5250.0,317.0,4500.0,4,2722.0,1435.0,4808.0,1785.0,1472.0,5.0,2002,2005-08-12 00:00:00.000,33459.0,375.0,225.0,Fixed Price,Canberra (ACT),AUSTRALIA,36990.0,17000.0,white,3,36.0,11153.0,0.11073369565217392,0.21535326086956522
TOYO,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,1794,4,100.0,6000.0,171.0,4200.0,4,2600.0,1470.0,4365.0,1695.0,1111.0,5.0,2006,2010-02-01 00:00:00.000,50810.0,275.0,165.0,Auction,Adelaide (SA),JAPAN,25550.0,13400.0,white,4,38.0,16045.263157894738,0.09000900090009001,0.15391539153915393
FORD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3983,6,148.0,4500.0,348.0,3750.0,4,2921.0,1420.0,5220.0,1857.0,1570.0,5.0,1994,2004-11-18 00:00:00.000,256466.0,575.0,345.0,Auction,Dubbo (NSW),AUSTRALIA,45139.0,3000.0,white,10,120.0,25646.6,0.09426751592356689,0.22165605095541402
TOYO,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,1794,4,100.0,6000.0,171.0,4200.0,4,2600.0,1470.0,4365.0,1695.0,1111.0,5.0,2004,2007-01-15 00:00:00.000,33478.0,325.0,195.0,Auction,Newcastle (NSW),SOUTH AFRICA,26090.0,16800.0,white,3,25.0,16069.439999999999,0.09000900090009001,0.15391539153915393
MITS,Wagon,SUV,Diesel,Piston,5.0,3200,4,121.0,3800.0,373.0,2000.0,5,2780.0,1855.0,4830.0,1885.0,2130.0,7.0,2005,2009-01-20 00:00:00.000,164874.0,300.0,180.0,Auction,Balcatta (WA),JAPAN,53390.0,16000.0,white,4,48.0,41218.5,0.0568075117370892,0.1751173708920188
HOLD,Wagon,Passenger,Petrol - Unleaded ULP,Piston,4.0,3791,6,147.0,5200.0,304.0,3600.0,5,2822.0,1422.0,4903.0,1794.0,1518.0,5.0,1996,2000-10-04 00:00:00.000,128368.0,525.0,315.0,Auction,Belmore (NSW),AUSTRALIA,33930.0,12000.0,blue,4,46.0,33487.30434782609,0.09683794466403162,0.2002635046113307
FORD,Utility,Light Commercial,Diesel,Piston,5.0,2499,4,105.0,3500.0,330.0,1800.0,4,2985.0,1630.0,5173.0,1715.0,1739.0,5.0,2010,2013-07-09 00:00:00.000,40047.0,210.0,140.0,Auction,Balcatta (WA),THAILAND,32990.0,14800.0,white,3,36.0,13349.0,0.060379528464634846,0.18976423231742381
HOLD,Wagon,SUV,Diesel,Piston,6.0,2231,4,135.0,3800.0,400.0,2000.0,5,2707.0,1727.0,4673.0,1849.0,1583.274504508248,7.0,2012,2015-02-11 00:00:00.000,58268.0,130.0,80.0,Dealer Only Auction,Geebung (QLD),SOUTH KOREA,43490.0,24000.0,white,3,35.0,19977.600000000002,0.08526632596912176,0.25264096583443485
HOLD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3791,6,152.0,5200.0,305.0,3600.0,4,2788.0,1545.0,5084.0,1847.0,1530.0,5.0,2003,2004-05-22 00:00:00.000,39343.0,350.0,210.0,Auction,Canberra (ACT),AUSTRALIA,41290.0,27100.0,indigo,1,11.0,42919.63636363637,0.09934640522875816,0.19934640522875818
FORD,Cab Chassis,Light Commercial,Petrol - Unleaded ULP,Piston,4.0,3984,6,182.0,5000.0,380.0,3250.0,2,3096.0,1527.0,4938.0,1871.0,1565.0,3.0,2005,2009-06-16 00:00:00.000,124043.0,360.0,240.0,Auction,Sunshine (VIC),AUSTRALIA,27515.0,8500.0,white,4,45.0,33078.13333333333,0.11629392971246007,0.24281150159744408
HOLD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3791,6,171.0,5200.0,375.0,3200.0,4,2939.0,1459.0,5237.0,1847.0,1718.0,5.0,2001,2009-09-24 00:00:00.000,178630.0,400.0,240.0,Auction,Geebung (QLD),AUSTRALIA,51460.0,6900.0,white,8,96.0,22328.75,0.09953434225844005,0.21827706635622818
SUBA,Wagon,Passenger,Petrol - Unleaded ULP,Piston,6.0,2457,4,123.0,5600.0,229.0,4000.0,5,2750.0,1535.0,4785.0,1780.0,1583.274504508248,5.0,2011,2015-08-25 00:00:00.000,163750.0,150.0,90.0,Auction,Sunshine (VIC),JAPAN,37490.0,9700.0,gray,4,48.0,40937.5,0.07768709699408871,0.14463695294021395
TOYO,Sedan,Passenger,Petrol - Unleaded ULP,Piston - Electric,1.0,2362,4,110.0,6000.0,187.0,4400.0,4,2775.0,1480.0,4815.0,1820.0,1645.0,5.0,2011,2014-12-30 00:00:00.000,48958.0,150.0,90.0,Auction,Sunshine (VIC),AUSTRALIA,36990.0,15500.0,white,3,36.0,16319.333333333334,0.0668693009118541,0.11367781155015197
TOYO,Wagon,SUV,Petrol - Unleaded ULP,Piston,4.0,3378,6,132.0,4800.0,303.0,3600.0,5,2675.0,1875.0,4770.0,1820.0,1848.0,8.0,1998,2000-02-02 00:00:00.000,64604.0,475.0,285.0,Auction,Belmore (NSW),JAPAN,47190.0,35200.0,white,2,18.0,43069.333333333336,0.07142857142857142,0.16396103896103897
FORD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3984,6,157.0,4900.0,357.0,3000.0,4,2792.0,1437.0,4907.0,1870.0,1515.0,5.0,1998,2000-10-17 00:00:00.000,42559.0,475.0,285.0,Auction,Hobart (TAS),AUSTRALIA,29990.0,17600.0,white,2,22.0,23214.0,0.10363036303630363,0.23564356435643563
HOLD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3791,6,147.0,5200.0,304.0,3600.0,4,2788.0,1450.0,4884.0,1842.0,1551.0,5.0,1999,2002-06-11 00:00:00.000,125064.0,450.0,270.0,Auction,Adelaide (SA),AUSTRALIA,30500.0,13700.0,indigo,3,36.0,41688.0,0.09477756286266925,0.19600257898130238
TOYO,Hatchback,Passenger,Petrol - Unleaded ULP,Piston - Electric,1.0,1497,4,54.0,4800.0,111.0,4000.0,5,2550.0,1455.0,3995.0,1695.0,1120.0,5.0,2013,2014-09-01 00:00:00.000,18715.0,100.0,60.0,Pickles Online,Sunshine (VIC),JAPAN,23990.0,17200.0,violet,1,10.0,22458.0,0.048214285714285716,0.09910714285714285
SUBA,Hatchback,Passenger,Petrol - Premium ULP,Piston,5.0,2457,4,195.0,6000.0,343.0,4000.0,5,2620.0,1475.0,4415.0,1740.0,1410.0,5.0,2009,2011-11-09 00:00:00.000,21497.0,200.0,120.0,Auction,Geebung (QLD),JAPAN,39990.0,28000.0,black,2,24.0,10748.5,0.13829787234042554,0.24326241134751772
HOLD,Wagon,Passenger,Petrol - Unleaded ULP,Piston,4.0,3791,6,147.0,5200.0,304.0,3600.0,5,2938.0,1545.0,5042.0,1847.0,1637.0,5.0,1997,2003-07-08 00:00:00.000,193126.0,500.0,300.0,Auction,Townsville (QLD),AUSTRALIA,32340.0,9600.0,green,6,71.0,32641.014084507042,0.08979841172877215,0.1857055589492975
TOYO,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,1798,4,100.0,6000.0,175.0,4400.0,4,2600.0,1475.0,4540.0,1760.0,1270.0,5.0,2008,2014-12-23 00:00:00.000,44087.0,230.0,140.0,Auction,Sunshine (VIC),JAPAN,22990.0,9200.0,white,6,72.0,7347.833333333333,0.07874015748031496,0.1377952755905512
VOLK,Van,Light Commercial,Diesel,Piston,7.0,1968,4,132.0,4000.0,400.0,2000.0,4,3000.0,1990.0,5292.0,1904.0,1815.0,2.0,2010,2014-10-07 00:00:00.000,53444.0,210.0,140.0,Auction,Belmore (NSW),GERMANY,46990.0,28750.0,white,4,48.0,13361.0,0.07272727272727272,0.22038567493112948
FORD,Wagon,Passenger,Petrol - Unleaded ULP,Piston,4.0,3984,6,157.0,4900.0,357.0,3000.0,5,2922.0,1469.0,5058.0,1870.0,1600.0,5.0,1998,2000-05-22 00:00:00.000,29193.0,475.0,285.0,Auction,Belmore (NSW),AUSTRALIA,31990.0,22000.0,yellow,2,18.0,19462.0,0.098125,0.223125
HOLD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3791,6,171.0,5200.0,375.0,3600.0,4,2788.0,1450.0,4964.0,1842.0,1655.0,5.0,2002,2004-02-24 00:00:00.000,30289.0,375.0,225.0,Auction,Hobart (TAS),AUSTRALIA,49320.0,28200.0,violet,2,24.0,15144.5,0.10332326283987915,0.22658610271903323
HOLD,Wagon,SUV,Petrol - Unleaded ULP,Piston,6.0,2997,6,190.0,6900.0,288.0,5800.0,5,2707.0,1727.0,4673.0,1849.0,1583.274504508248,7.0,2011,2013-10-30 00:00:00.000,57627.0,150.0,90.0,Auction,Geebung (QLD),SOUTH KOREA,42490.0,19600.0,yellow,2,24.0,28813.5,0.12000445877135654,0.1819014954007931
TOYO,Wagon,Passenger,Petrol - Unleaded ULP,Piston,4.0,2362,4,118.0,5700.0,221.0,4000.0,4,2825.0,1675.0,4650.0,1760.0,1515.0,7.0,2006,2013-11-21 00:00:00.000,133250.0,275.0,165.0,Auction,Sunshine (VIC),JAPAN,36990.0,6000.0,black,7,84.0,19035.714285714286,0.07788778877887789,0.14587458745874587
TOYO,Wagon,Passenger,Petrol - Unleaded ULP,Piston,4.0,2362,4,115.0,5600.0,221.0,4000.0,5,2900.0,1820.0,4750.0,1790.0,1614.0,8.0,2001,2006-04-24 00:00:00.000,144156.0,400.0,240.0,Auction,Tullamarine (VIC),JAPAN,51300.0,19900.0,white,5,54.0,32034.666666666668,0.07125154894671623,0.1369268897149938
TOYO,Van,Light Commercial,Petrol - Unleaded ULP,Piston,5.0,2438,4,85.0,5000.0,196.0,2600.0,4,2330.0,1940.0,4570.0,1690.0,1465.0,3.0,1996,2002-04-10 00:00:00.000,134233.0,630.0,420.0,Auction,Belmore (NSW),JAPAN,28860.0,16000.0,white,6,66.0,24406.0,0.05802047781569966,0.13378839590443686
TOYO,Van,Light Commercial,Petrol - Unleaded ULP,Piston,4.0,2438,4,85.0,5000.0,196.0,2600.0,4,2330.0,1940.0,4570.0,1690.0,1470.0,3.0,1992,2003-12-03 00:00:00.000,183590.0,750.0,500.0,Auction,Belmore (NSW),JAPAN,24524.0,7000.0,white,11,132.0,16690.0,0.05782312925170068,0.13333333333333333
MITS,Coupe,Passenger,Petrol - Unleaded ULP,Piston,4.0,1468,4,69.0,5500.0,126.0,3000.0,2,2415.0,1365.0,4230.0,1690.0,970.0,5.0,1997,2002-05-15 00:00:00.000,201479.0,380.0,200.0,Auction,Belmore (NSW),JAPAN,19730.0,4900.0,green,5,60.0,40295.8,0.0711340206185567,0.12989690721649486
HOLD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3791,6,152.0,5200.0,305.0,3600.0,4,2788.0,1450.0,4891.0,1842.0,1526.0,5.0,2002,2004-04-19 00:00:00.000,23636.0,375.0,225.0,Auction,Belmore (NSW),AUSTRALIA,37510.0,21600.0,violet,2,24.0,11818.0,0.09960681520314547,0.1998689384010485
TOYO,Hatchback,Passenger,Petrol - Unleaded ULP,Piston,4.0,1299,4,63.0,6000.0,122.0,4400.0,3,2370.0,1510.0,3615.0,1660.0,865.0,5.0,2002,2015-06-04 00:00:00.000,94487.0,375.0,225.0,Auction,Sunshine (VIC),JAPAN,17660.0,1900.0,white,13,155.0,7315.122580645161,0.07283236994219654,0.14104046242774568
TOYO,Hatchback,Passenger,Petrol - Unleaded ULP,Piston,4.0,1798,4,100.0,6000.0,175.0,4400.0,5,2600.0,1515.0,4220.0,1760.0,1310.0,5.0,2009,2011-08-08 00:00:00.000,47500.0,200.0,120.0,Auction,Adelaide (SA),JAPAN,23490.0,13600.0,blue,2,24.0,23750.0,0.07633587786259542,0.13358778625954199
HOLD,Utility,Light Commercial,Petrol - Unleaded ULP,Piston,5.0,3494,6,147.0,5400.0,280.0,3000.0,4,3050.0,1735.0,4900.0,1800.0,1685.0,5.0,2005,2009-09-29 00:00:00.000,74750.0,360.0,240.0,Fixed Price,Balcatta (WA),JAPAN,29990.0,10200.0,white,4,48.0,18687.5,0.08724035608308606,0.1661721068249258
MITS,Coupe,Passenger,Petrol - Unleaded ULP,Piston,5.0,1834,4,86.0,5500.0,161.0,4500.0,2,2415.0,1365.0,4230.0,1690.0,990.0,5.0,2001,2010-09-15 00:00:00.000,96757.0,300.0,160.0,Auction,Belmore (NSW),JAPAN,24990.0,4600.0,gray,9,105.0,11057.942857142858,0.08686868686868687,0.16262626262626262
TOYO,Cab Chassis,Light Commercial,Petrol - Unleaded ULP,Piston,5.0,2694,4,118.0,5200.0,241.0,3800.0,2,3085.0,1680.0,4975.0,1760.0,1465.0,3.0,2010,2013-07-18 00:00:00.000,36676.0,210.0,140.0,Auction,Sunshine (VIC),THAILAND,18490.0,13500.0,indigo,3,33.0,13336.727272727272,0.08054607508532423,0.1645051194539249
HOLD,Sedan,Passenger,LPG only,Piston,6.0,3564,6,180.0,6000.0,320.0,2000.0,4,3009.0,1470.0,5160.0,1898.0,1816.0,5.0,2014,2015-08-20 00:00:00.000,40479.0,75.0,45.0,Auction,Sunshine (VIC),AUSTRALIA,54990.0,37100.0,white,1,12.0,40479.0,0.09911894273127753,0.1762114537444934
HOLD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3565,6,175.0,6000.0,320.0,2800.0,4,2789.0,1440.0,4876.0,1842.0,1568.0,5.0,2005,2008-10-21 00:00:00.000,161649.0,300.0,180.0,Auction,Sunshine (VIC),AUSTRALIA,33650.0,7800.0,indigo,3,36.0,53883.0,0.11160714285714286,0.20408163265306123
FORD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,6.0,1596,4,89.0,6300.0,151.0,4300.0,4,2489.0,1454.0,4291.0,1722.0,1125.0,5.0,2011,2014-10-14 00:00:00.000,19945.0,150.0,90.0,Auction,Belmore (NSW),THAILAND,20990.0,10700.0,blue,3,36.0,6648.333333333333,0.0791111111111111,0.13422222222222221
VOLK,Utility,Light Commercial,Diesel,Piston,6.0,1968,4,132.0,4000.0,400.0,2250.0,4,3095.0,1834.0,5254.0,1954.0,2018.0,5.0,2013,2014-09-04 00:00:00.000,34137.0,120.0,80.0,Auction,Tamworth (NSW),ARGENTINA,45990.0,30250.0,white,1,12.0,34137.0,0.06541129831516353,0.19821605550049554
SUBA,Wagon,SUV,Petrol - Unleaded ULP,Piston,6.0,2457,4,123.0,5600.0,229.0,4000.0,5,2745.0,1615.0,4790.0,1820.0,1505.0,5.0,2010,2014-05-08 00:00:00.000,70780.0,180.0,110.0,Auction,Canberra (ACT),JAPAN,43990.0,21750.0,blue,4,42.0,20222.85714285714,0.08172757475083056,0.1521594684385382
NISS,Wagon,SUV,Petrol - Unleaded ULP,Piston,1.0,2488,4,125.0,6000.0,226.0,4400.0,5,2630.0,1700.0,4635.0,1790.0,1583.274504508248,5.0,2011,2014-08-22 00:00:00.000,31916.0,150.0,90.0,Fixed Price,Balcatta (WA),JAPAN,38490.0,20160.0,gray,3,36.0,10638.666666666666,0.07895030182326089,0.14274214569645569
FORD,Utility,Light Commercial,Diesel,Piston,6.0,3198,5,147.0,3000.0,470.0,2750.0,4,3220.0,1815.0,5359.0,1850.0,2086.0,5.0,2013,2014-10-07 00:00:00.000,53346.0,120.0,80.0,Auction,Belmore (NSW),THAILAND,48390.0,36250.0,gray,1,10.0,64015.2,0.07046979865771812,0.2253116011505273
TOYO,Wagon,Passenger,Petrol - Unleaded ULP,Piston,4.0,2164,4,94.0,5200.0,187.0,4400.0,5,2670.0,1450.0,4775.0,1780.0,1435.0,5.0,2001,2003-07-14 00:00:00.000,30133.0,400.0,240.0,Auction,Belmore (NSW),AUSTRALIA,29660.0,17800.0,violet,2,24.0,15066.5,0.06550522648083623,0.13031358885017422
HOLD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3791,6,152.0,5200.0,305.0,3600.0,4,2788.0,1450.0,4964.0,1842.0,1620.0,5.0,2000,2005-01-10 00:00:00.000,97038.0,425.0,255.0,Auction,Belmore (NSW),AUSTRALIA,46830.0,17200.0,violet,5,50.0,23289.12,0.09382716049382717,0.1882716049382716
