Colour,Colour Cleaned,Group
Royal Grey Metallic,royal grey metallic,gray
Spark Silver,spark silver,gray
D69 - Mercury Grey (R),mercury grey,gray
Star Silver,star silver,gray
Silver Ash.,silver ash.,gray
Platinum Grey,platinum grey,gray
1G8 - Grey Mica Metallic (T),grey mica metallic,gray
1J2 - Sonic Silver (L),sonic silver,gray
Carbon Grey Metallic,carbon grey metallic,gray
Stirling Silver,stirling silver,gray
4P9 - Dusty Grey (T),dusty grey,gray
Shadow,shadow,gray
Stone,stone,gray
United Grey,united grey,gray
Atomic,atomic,gray
Quartz Grey,quartz grey,gray
Premium Silver,premium silver,gray
Mercury Silver Metallic,mercury silver metallic,gray
Silver Ice,silver ice,gray
8N6 - Greyish Blue (T),greyish blue,gray
Zermatt Silver,zermatt silver,gray
Silver Crystal,silver crystal,gray
Leaf Silver,leaf silver,gray
Sleek Silver,sleek silver,gray
Stornoway Grey,stornoway grey,gray
Monsoon Grey,monsoon grey,gray
Silver Mica,silver mica,gray
Dolphin Grey,dolphin grey,gray
A8 - Graphite Luster (H),graphite luster,gray
Stardust Silver,stardust silver,gray
1D2 - Grey Metallic (T),grey metallic,gray
Crunch Metallic,crunch metallic,gray
Green Grey,green grey,gray
Volcano Grey Metallic,volcano grey metallic,gray
1D4 - Silver Metallic (T),silver metallic,gray
Monolith Grey Metallic,monolith grey metallic,gray
White Grey,white grey,gray
368 - Flint Grey (MB),flint grey,gray
Grey Mist,grey mist,gray
Galaxy Grey,galaxy grey,gray
Graphite Grey Metallic (A),graphite grey metallic,gray
KNG - Oyster Grey (R),oyster grey,gray
Steel Silver,steel silver,gray
S07 - Silver Metallic (T),silver metallic,gray
Light Silver Metallic,light silver metallic,gray
Alabaster Silver,alabaster silver,gray
Grand White,grand white,gray
SF - Forged Silver (H),forged silver,gray
Island Grey,island grey,gray
Argon Silver,argon silver,gray
Flinders Grey,flinders grey,gray
4E9 - Sandy Taupe (T),sandy taupe,gray
Winter Grey,winter grey,gray
Satelilite Silver,satelilite silver,gray
Atomic Metallic,atomic metallic,gray
LA7N - Limestone Grey,limestone grey,gray
Grey Metallic,grey metallic,gray
Crystal Grey,crystal grey,gray
Silver (Do Not Use Disabled),silver,gray
Meteor Grey,meteor grey,gray
Black Grey,black grey,gray
Daytona Grey,daytona grey,gray
B66 - Eclipse Grey (R),eclipse grey,gray
Pepper Grey,pepper grey,gray
Metro,metro,gray
Silverstone,silverstone,gray
Dark Grape,dark grape,gray
Grey/ Red,grey/ red,gray
1C6 - Dark Grey Mica Metallic (T),dark grey mica metallic,gray
Dark Silver,dark silver,gray
Anthracite Grey Metallic,anthracite grey metallic,gray
Silver Essence,silver essence,gray
Atlas Grey,atlas grey,gray
Bright Silver,bright silver,gray
KNG - Lunar Grey (R),lunar grey,gray
Effect Grey,effect grey,gray
Turbine Grey,turbine grey,gray
ST - Storm Silver (H),storm silver,gray
Condor Grey,condor grey,gray
Storm Grey.,storm grey.,gray
Brown Beige,brown beige,gray
Golden Sand,golden sand,gray
Delphin Grey,delphin grey,gray
Green,green,green
Harvest Green,harvest green,green
Verdant Green,verdant green,green
9AE - Illusion (T),illusion,green
Congo Green,congo green,green
Heritage Green,heritage green,green
Polo Green,polo green,green
Torquoise Emerald,torquoise emerald,green
Oxford Green,oxford green,green
Dark Green,dark green,green
Edge,edge,green
Noble Green,noble green,green
Emerald,emerald,green
Hot House Green Mica,hot house green mica,green
Metallic Green,metallic green,green
6S3 - Green Aspen (T),green aspen,green
6T6 - Mist Green Metallic (T),mist green metallic,green
Capricorn Green,capricorn green,green
Hayman Green,hayman green,green
Light Green,light green,green
Mist Green,mist green,green
Sherbrooke Green,sherbrooke green,green
Bermuda Green,bermuda green,green
Silver Leaf,silver leaf,green
Reef Green,reef green,green
Green Silver,green silver,green
Zest Green,zest green,green
Morocco Sand Frost,morocco sand frost,green
Daintree Green,daintree green,green
Laurel Green,laurel green,green
Fusion,fusion,green
Racing Green,racing green,green
Lime Green,lime green,green
Frontier Green,frontier green,green
Peacock Green,peacock green,green
Polynesian Green,polynesian green,green
Dark Green Mica Metalic,dark green mica metalic,green
Emerald Green,emerald green,green
6Q7 - Dark Green Mica (T),dark green mica,green
British Racing Green,british racing green,green
4V0 - Amazon (T),amazon,green
Grey Green,grey green,green
Jungle Green,jungle green,green
Mint,mint,green
Kuranda Green,kuranda green,green
Timber Green,timber green,green
Apple Green,apple green,green
Black Emerald,black emerald,green
6V4 – Deep Green MC (T),6v4 – deep green mc,green
Opal Green,opal green,green
Light Green Pearl,light green pearl,green
1J1 - Green Potion (T),green potion,green
Amazon Green,amazon green,green
Lugano Green,lugano green,green
Heather Green,heather green,green
Spruce Green,spruce green,green
G8 - Green Opal (H),green opal,green
6S9 - Jade Green (T),jade green,green
Black,black,black
202 - Ebony  (T),ebony,black
197 - Obsidian Black (MB),obsidian black,black
Brown,brown,black
Phantom Black,phantom black,black
Cobra Metallic,cobra metallic,black
1H2 - Metal Storm (T),metal storm,black
217 - Starlight Black (L),starlight black,black
Brilliant Black,brilliant black,black
3R0 - Dark Furnace (T),dark furnace,black
4T3 - Liquid Bronze (T),liquid bronze,black
1G2 - Liquid Bronze (T),liquid bronze,black
4S2 - Magnetic Bronze (T),magnetic bronze,black
Charcoal,charcoal,black
Panther Black,panther black,black
KU - Ruse Black (H),ruse black,black
Black Obsidian,black obsidian,black
Black Mica Metallic,black mica metallic,black
Ebony,ebony,black
218 - Eclipse Black (T),eclipse black,black
Karma Metallic,karma metallic,black
Sable Black,sable black,black
Black Metallic,black metallic,black
Deep Black,deep black,black
2KC - Ebony/White Roof (T),ebony/white roof,black
Nighthawk Black,nighthawk black,black
Absolute Black Metallic,absolute black metallic,black
K7 - Crystal Black (H),crystal black,black
Black Silver,black silver,black
Cherry Black,cherry black,black
Desert Sand Mtallic,desert sand mtallic,black
8T5 - Tasman (T),tasman,black
Santorini Black,santorini black,black
218 - Ecllipse Black (T),ecllipse black,black
Carbon Steel,carbon steel,black
Crystal Black Silica Pearl,crystal black silica pearl,black
Tan,tan,black
Java Black,java black,black
Perla Nera Black,perla nera black,black
D4S - Storm Black (T),storm black,black
Carbon Flash Black,carbon flash black,black
Tanami,tanami,black
Black Pearl,black pearl,black
Basalt Black Metallic,basalt black metallic,black
White Black,white black,black
Silver Ash - disable,disable,black
Black Sapphire Metallic,black sapphire metallic,black
Black Sapphire,black sapphire,black
Diamond Black,diamond black,black
Morocco Sand,morocco sand,black
Black Panther,black panther,black
Sparkling Black,sparkling black,black
GXA - Metallic Black (R),metallic black,black
Blue Black,blue black,black
Black Magic,black magic,black
Kashmir Brown Metallic,kashmir brown metallic,black
GNE - Star Black (R),star black,black
Radiant Ebony,radiant ebony,black
Platinum Black Metalic,platinum black metalic,black
Toffee Brown,toffee brown,black
XND - Ivory White/Diamond Black Roof (R),ivory white/diamond black roof,black
Raven Black,raven black,black
Green Black,green black,black
Dark Micastone,dark micastone,black
Pyrenees Black,pyrenees black,black
Boston Black,boston black,black
Dash,dash,black
Black Opal Metallic,black opal metallic,black
Orca Black,orca black,black
SA - Modern Steel (H),modern steel,black
Midnight Black,midnight black,black
Archon Bronze,archon bronze,black
Ebony Black,ebony black,black
Mica Midnight Black,mica midnight black,black
GNA - Deep Black (R),deep black,black
Monsoon,monsoon,indigo
Nitro,nitro,indigo
Martini Mica,martini mica,indigo
Kashmir,kashmir,indigo
Karma,karma,indigo
Tundra Mica,tundra mica,indigo
209 - Ink (T),ink,indigo
Barbados,barbados,indigo
Graphite,graphite,indigo
4R8 - Inferno,inferno,indigo
Aqua,aqua,indigo
8S4 - Artic Frost (T),artic frost,indigo
8V3 - Lapis Lazuli (L),lapis lazuli,indigo
Granada Mica,granada mica,indigo
Sizzle,sizzle,indigo
Tiger Mica,tiger mica,indigo
Galaxy,galaxy,indigo
3R3 - Wildfire (T),wildfire,indigo
Shanghai Mica,shanghai mica,indigo
Dejavu,dejavu,indigo
Champagne,champagne,indigo
1G3 - Graphite (T),graphite,indigo
8N0 - Santorini (T),santorini,indigo
Inferno,inferno,indigo
Botanica Mica,botanica mica,indigo
Phantom,phantom,indigo
Odyssey,odyssey,indigo
Sandstorm,sandstorm,indigo
Octane,octane,indigo
Inca Silver,inca silver,indigo
Amazon Mica,amazon mica,indigo
Capricorn Mica,capricorn mica,indigo
Turbine Mica,turbine mica,indigo
Madeira,madeira,indigo
Silver Ash..,silver ash..,indigo
8V1 - Stealth (T),stealth,indigo
Phantom Mica,phantom mica,indigo
Tundra,tundra,indigo
Hyper Mica,hyper mica,indigo
Moondust Silver,moondust silver,indigo
Silk,silk,indigo
Mercury,mercury,indigo
Cocoon,cocoon,indigo
Mirage Glow,mirage glow,indigo
Organza,organza,indigo
Delft Mica,delft mica,indigo
212 - Onyx (L),onyx,indigo
Cinnabar Mica,cinnabar mica,indigo
Ice Mint,ice mint,indigo
Regency,regency,indigo
Crystal Ice,crystal ice,indigo
Ignition,ignition,indigo
Ink,ink,indigo
775 - Iridium Silver (MB),iridium silver,indigo
Bermuda Mica,bermuda mica,indigo
Havana,havana,indigo
218 - Eclipse ,eclipse,indigo
Onyx,onyx,indigo
Poison Ivy,poison ivy,indigo
Mocha Foam,mocha foam,indigo
Cove Mica,cove mica,indigo
Parchment,parchment,indigo
Grange,grange,indigo
Impulse,impulse,indigo
Bionic,bionic,indigo
Flint,flint,indigo
6S8 - Morning Dew (T),morning dew,indigo
Envi,envi,indigo
Cinnibar,cinnibar,indigo
Twilight,twilight,indigo
Genesis Mica,genesis mica,indigo
Sting,sting,indigo
5A4 - Indian Summer (T),indian summer,indigo
Biege,biege,indigo
3S7 - Cosmopolitan (T),cosmopolitan,indigo
Ocean,ocean,indigo
Pantha Mica,pantha mica,indigo
Harmony (Light Blue),harmony,indigo
Cashmere,cashmere,indigo
Harmony,harmony,indigo
774 - Aqua (T),aqua,indigo
Indiana,indiana,indigo
8S7 - Glacier (T),glacier,indigo
4N5 - Cashmere (T),cashmere,indigo
Chill,chill,indigo
Alaskan Frost,alaskan frost,indigo
Chamois,chamois,indigo
8K2 - Luna Mist (T),luna mist,indigo
Conquer,conquer,indigo
1G0 - Graphite (T),graphite,indigo
Sand Dune,sand dune,indigo
Tiger,tiger,indigo
Panther Mica,panther mica,indigo
Breeze,breeze,indigo
798 - Sanidine Beige (MB),sanidine beige,indigo
Cinnamon,cinnamon,indigo
Switch Blade,switch blade,indigo
Glacier,glacier,indigo
Everglade,everglade,indigo
Cove,cove,indigo
2KP - Sandstorm (T),sandstorm,indigo
Crema,crema,indigo
Casablanca,casablanca,indigo
Lunar Sky,lunar sky,indigo
Inferno Red,inferno red,indigo
Midnight Sky,midnight sky,indigo
Peacock,peacock,indigo
Titanium,titanium,indigo
8S0 - Ocean Mist (T),ocean mist,indigo
Organza.,organza.,indigo
Dune,dune,indigo
Ocean Jade,ocean jade,indigo
Mystic,mystic,indigo
Cosmo Mica,cosmo mica,indigo
Ironite,ironite,indigo
Aspen Silver,aspen silver,indigo
Turismo,turismo,indigo
HXA - Mineral Beige (R),mineral beige,indigo
Iris Blue,iris blue,indigo
Inca Green Quartz Silver,inca green quartz silver,indigo
Masai Mica,masai mica,indigo
Regal Peacock,regal peacock,indigo
Chino,chino,indigo
Obsession,obsession,indigo
5A6 - Sting (T),sting,indigo
Flint Mica,flint mica,indigo
Monterey,monterey,indigo
Envy,envy,indigo
Travertine Biege,travertine biege,indigo
Ipanema Sand,ipanema sand,indigo
Sahara Beige,sahara beige,indigo
Tango,tango,indigo
Madeira Pearl,madeira pearl,indigo
Pannacotta,pannacotta,indigo
Ironbark,ironbark,indigo
Pistachio,pistachio,indigo
Imperial Blonde,imperial blonde,indigo
Icon Blue,icon blue,blue
Dark Blue,dark blue,blue
Blue,blue,blue
8S6 - Dynamic Blue (T),dynamic blue,blue
8U1 - Flame Blue (L),flame blue,blue
Stormy Blue,stormy blue,blue
Genesis Blue,genesis blue,blue
8H6 - Midnight Blue (T),midnight blue,blue
8T0 - Caribbean Blue (T),caribbean blue,blue
8R6 - Blue Pearl (L),blue pearl,blue
Navy Blue,navy blue,blue
Blueprint,blueprint,blue
Blue Print,blue print,blue
Star,star,blue
8U6 - Blue Steel (T),blue steel,blue
8T7 - Tidal Blue (T),tidal blue,blue
Impulse Blue,impulse blue,blue
Sky Blue,sky blue,blue
1F8 - Silver Lining (T),silver lining,blue
8R3 - Blue Storm (T),blue storm,blue
Perfect Blue,perfect blue,blue
Nautilus Blue,nautilus blue,blue
Blue Mystique,blue mystique,blue
8L5 - Reflex Blue (T),reflex blue,blue
Kinetic - Blue,blue,blue
Blue Silver,blue silver,blue
Pacific Blue,pacific blue,blue
8R6 - Light Blue (T),light blue,blue
Off Shore Blue,off shore blue,blue
788 - Celestial Blue (T),celestial blue,blue
8R6 - Arctic Blue (T),arctic blue,blue
Botany Blue,botany blue,blue
Metallic Blue,metallic blue,blue
LW - Twilight Blue (H),twilight blue,blue
Mystic Blue,mystic blue,blue
Bermuda Blue,bermuda blue,blue
Moonstone Blue,moonstone blue,blue
Turquoise,turquoise,blue
Twilight Blue,twilight blue,blue
Narooma Blue,narooma blue,blue
Crystal Blue,crystal blue,blue
Cascade Blue.,cascade blue.,blue
Mauritius Blue,mauritius blue,blue
Astral Blue,astral blue,blue
Silver Blue,silver blue,blue
Noosa Blue,noosa blue,blue
8V5 - Cosmos Blue (T),cosmos blue,blue
Ice Blue,ice blue,blue
8S7 - Light Blue Metallic (T),light blue metallic,blue
Bluish Silver,bluish silver,blue
Atlantis Blue,atlantis blue,blue
Tempest Blue,tempest blue,blue
China Blue,china blue,blue
Shadow Blue,shadow blue,blue
Galaxy Blue,galaxy blue,blue
Deep Blue,deep blue,blue
Oxford Blue,oxford blue,blue
Deep Sea Blue,deep sea blue,blue
Steel Blue,steel blue,blue
Winning Blue,winning blue,blue
Phantom Blue,phantom blue,blue
Storm Blue,storm blue,blue
391 - Horizon Blue (MB),horizon blue,blue
Blue Yellow,blue yellow,blue
Polar Sea Blue,polar sea blue,blue
Galaxy Blue ,galaxy blue,blue
B51 - Blue Mica Metallic (T),blue mica metallic,blue
Sapphire Blue,sapphire blue,blue
XNX - Riviera Blue/Diamond Black Roof (R),riviera blue/diamond black roof,blue
Electric Blue,electric blue,blue
Carlo Blue,carlo blue,blue
Monsoon Blue,monsoon blue,blue
8V8 - Pearl Blue (T),pearl blue,blue
Keppel Blue,keppel blue,blue
1D6 - Silver Sky (T),silver sky,blue
214 - Elysium Blue (L),elysium blue,blue
Marine Blue,marine blue,blue
8T8 - Aztec Blue (T),aztec blue,blue
Military Blue,military blue,blue
8R4 - Blackheath Blue (T),blackheath blue,blue
8P4 - Dark Blue Metallic (T),dark blue metallic,blue
Ultra Blue,ultra blue,blue
Harbour Blue,harbour blue,blue
B50 - Blue Metallic (T),blue metallic,blue
Raven Blue,raven blue,blue
8W1 - Blue Slate (T),blue slate,blue
Sword Blue,sword blue,blue
Island Blue,island blue,blue
Blue / Green,blue / green,blue
Midnight Blue,midnight blue,blue
E8H - Galaxy Blue Silica (T),galaxy blue silica,blue
Celeste Blue,celeste blue,blue
Botanica Blue,botanica blue,blue
2JV - Voodoo Blue/White Roof (T),voodoo blue/white roof,blue
359 - Tansanite Blue (MB),tansanite blue,blue
Dawn Blue,dawn blue,blue
Cascade Blue,cascade blue,blue
Blue Velvet,blue velvet,blue
8U9 - Blue Pearl (T),blue pearl,blue
Pacific Blue Metallic,pacific blue metallic,blue
LO - Deep Ocean Blue (H),deep ocean blue,blue
Regal Blue,regal blue,blue
Cool Blue,cool blue,blue
Shark Blue,shark blue,blue
Northern Blue,northern blue,blue
Denim Blue,denim blue,blue
LM - Morpho Blue (H),morpho blue,blue
Morrocan Blue,morrocan blue,blue
Panama Blue,panama blue,blue
2KQ - Military Blue/White Roof (T),military blue/white roof,blue
Cobalt Blue,cobalt blue,blue
Blue Mist,blue mist,blue
Windsor Blue,windsor blue,blue
Moody Blue,moody blue,blue
Night Blue Metallic,night blue metallic,blue
Sky Blue Metallic,sky blue metallic,blue
Bone,bone,blue
Bluestone Metallic,bluestone metallic,blue
Empire Blue,empire blue,blue
8W1 - Blue Mist (T),blue mist,blue
Blue Flame,blue flame,blue
Pale Blue,pale blue,blue
Flame Blue,flame blue,blue
Ink Blue,ink blue,blue
Deep Blue Pearl Effect,deep blue pearl effect,blue
RPB - Majorelle Blue (R),majorelle blue,blue
Kingfisher Blue,kingfisher blue,blue
Plasma Blue,plasma blue,blue
Metropolis Blue,metropolis blue,blue
Clean Blue,clean blue,blue
Aero Blue Metallic (A),aero blue metallic,blue
Performance Blue,performance blue,blue
Newport Blue,newport blue,blue
Nitrate,nitrate,violet
3P0 - Cherry (T),cherry,violet
Tungsten Mica,tungsten mica,violet
Burgundy,burgundy,violet
Chestnut,chestnut,violet
Raven Mica,raven mica,violet
Lightning Strike,lightning strike,violet
Voodoo,voodoo,violet
Silhouette.,silhouette.,violet
Silhouette,silhouette,violet
070 - Crystal Pearl (T),crystal pearl,violet
Evoke,evoke,violet
8T4 - Tungsten (T),tungsten,violet
Crimson Glow,crimson glow,violet
1F9 - Moonlight (T),moonlight,violet
Vixen Red,vixen red,violet
Vibe,vibe,violet
Vespers Mica,vespers mica,violet
Luscious,luscious,violet
Silverleaf,silverleaf,violet
Raven,raven,violet
Sensation,sensation,violet
Amaretto,amaretto,violet
Platinum Glow,platinum glow,violet
8S1 - Shimmer (T),shimmer,violet
Morpheous Metallic,morpheous metallic,violet
Platinium,platinium,violet
Velocity,velocity,violet
Sunlight Silver,sunlight silver,violet
Shockwave,shockwave,violet
Petroleum,petroleum,violet
Sage,sage,violet
Prussian Steel,prussian steel,violet
Venom,venom,violet
Platinium ,platinium,violet
Vanish,vanish,violet
Nitrate Metallic,nitrate metallic,violet
3R1 - Vermillion (L),vermillion,violet
Violet,violet,violet
Arctic Frost,arctic frost,violet
Provence,provence,violet
Zircon Silver,zircon silver,violet
Velvet,velvet,violet
Glaze Metallic,glaze metallic,violet
1J7 - Sonic Titanium (L),sonic titanium,violet
Berry Mica,berry mica,violet
Burgundy Purple,burgundy purple,violet
Starlight,starlight,violet
Valencia Mica,valencia mica,violet
777 - Aquamarine (T),aquamarine,violet
3R9 - Scarlet,scarlet,violet
Chlorophyll,chlorophyll,violet
Hyper Metallic,hyper metallic,violet
Platinum Silver,platinum silver,violet
Sapphire,sapphire,violet
792 - Palladium Silver (MB),palladium silver,violet
French Vanilla,french vanilla,violet
Titainium Silver,titainium silver,violet
Fantasy,fantasy,violet
W1 - White Orchid (H),white orchid,violet
Rose Mist,rose mist,violet
Pewter,pewter,violet
Vermillion Fire,vermillion fire,violet
Dark Amethyst,dark amethyst,violet
Silver Lightning,silver lightning,violet
590 - Fire Opal (MB),fire opal,violet
8T6 - Voodoo Blue (T),voodoo blue,violet
Lucifer,lucifer,violet
1J1 - Lustre (T),lustre,violet
Moonlight Silver,moonlight silver,violet
Garnet,garnet,violet
Passion Rose,passion rose,violet
Evo Twilight,evo twilight,violet
Valencia,valencia,violet
Lilac,lilac,violet
Silver Frost,silver frost,violet
Claret,claret,violet
Plum,plum,violet
Smokey Eye,smokey eye,violet
MT - Urban Titanium (H),urban titanium,violet
Desert Rose,desert rose,violet
Merlot Metalilic,merlot metalilic,violet
3R7 - Crimson (T),crimson,violet
Blaze,blaze,violet
3S0 - Garnet (L),garnet,violet
6T7 - Olive Mica (T),olive mica,violet
Tungsten,tungsten,violet
Merlot,merlot,violet
085 - Sonic Quartz (L),sonic quartz,violet
Hazard,hazard,violet
Copper,copper,violet
Heather Frost,heather frost,violet
Laurel Mica,laurel mica,violet
Vivid Blue,vivid blue,violet
Arctic,arctic,violet
4U7 - Metallic Silk (L),metallic silk,violet
Plum Blush,plum blush,violet
5A7 - Lustre (T),lustre,violet
Vitro,vitro,violet
Purple Haze,purple haze,violet
3P2 - Bordeaux Mica (T),bordeaux mica,violet
Vermillion,vermillion,violet
Fawn,fawn,violet
KXC - Ultra Silver (R),ultra silver,violet
583 - Champagne Metallic (T),champagne metallic,violet
Misty Rose,misty rose,violet
Havanna Metallic,havanna metallic,violet
761 - Polar Silver (MB),polar silver,violet
Velvet Red,velvet red,violet
Aurora Gold,aurora gold,violet
8Q1 - Rhapsody (T),rhapsody,violet
Shimmer,shimmer,violet
Viper,viper,violet
Crystal Mint,crystal mint,violet
LV - Vivid Sky Blue (H),vivid sky blue,violet
Mauve,mauve,violet
Yellow  White,yellow  white,yellow
Gold,gold,yellow
Purple,purple,yellow
Diamond White.,diamond white.,yellow
Quick Silver,quick silver,yellow
Nickel Metallic,nickel metallic,yellow
White Pearl Crystal Shine,white pearl crystal shine,yellow
Light Brown,light brown,yellow
Beige,beige,yellow
Desert Gold,desert gold,yellow
Nickel Silver,nickel silver,yellow
Yellow,yellow,yellow
Gold Dust,gold dust,yellow
Sparkling Beige,sparkling beige,yellow
Zest,zest,yellow
White Pearl,white pearl,yellow
1G2 - Liquid Metal (T),liquid metal,yellow
Devil Yellow,devil yellow,yellow
